番号,組,国,数,理,社,英
01,A,60,53,37,65,65
02,B,81,44,57,21,54
03,B,49,35,45,43,34
04,B,86,81,45,31,76
05,A,71,59,75,57,85
06,A,41,51,38,44,24
07,B,58,42,75,36,54
08,A,83,55,46,42,64
09,B,38,46,29,63,43
10,B,75,55,38,43,86
11,A,84,55,48,33,98
12,A,32,57,58,56,45
13,A,53,55,95,42,23
14,A,77,53,47,34,25
15,B,43,36,37,84,12
16,A,64,55,85,32,42
17,B,86,38,35,45,63
18,A,75,56,38,64,85
19,A,74,49,58,54,28
20,B,85,53,95,43,66
21,B,36,75,37,87,49
22,A,59,65,58,61,48
23,B,53,78,93,54,97
24,A,68,56,37,75,38
25,A,49,48,75,54,57
26,A,39,50,65,64,74
27,B,85,47,83,43,37
28,B,37,41,94,65,85
29,B,86,76,23,71,76
30,B,75,50,43,24,85
31,A,74,52,31,51,28
32,A,60,62,64,51,65
33,B,64,78,43,83,16
34,B,38,73,85,53,75
35,B,86,38,36,73,76
36,A,75,58,23,54,85
37,A,74,54,38,54,28
38,A,60,55,84,34,65
39,B,64,77,32,52,16
40,B,38,73,54,37,75
41,B,86,68,23,46,76
42,A,75,57,43,54,85
43,A,74,48,65,44,28
44,A,60,53,67,28,65
45,B,64,39,75,62,16
46,B,38,58,54,43,75
47,B,86,44,82,46,76
48,A,75,57,54,66,85
49,A,74,49,92,74,28
50,B,64,56,73,42,16
51,A,38,50,53,53,75
52,B,44,65,84,63,76
53,B,75,56,64,42,85
54,A,74,62,87,31,28
55,A,60,60,67,38,65
56,B,64,62,47,82,16
57,B,88,50,78,91,75
58,B,86,51,43,82,76
59,A,37,56,67,56,85
60,A,74,48,87,71,28
